#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
0.1 0.00143517 -0.00500001 5.44385e-111 0 0
0.114142 0.00163813 -0.00500001 6.34052e-111 0 0
0.131112 0.00188168 -0.00500001 7.63642e-111 0 0
0.151476 0.00217394 -0.00500001 9.58912e-111 0 0
0.175912 0.00252464 -0.00500001 1.26902e-110 0 0
0.205236 0.00294549 -0.00500001 1.79553e-110 0 0
0.240423 0.00345049 -0.00500001 2.77033e-110 0 0
0.282646 0.00405647 -0.00500001 4.79491e-110 0 0
0.333312 0.00478361 -0.00500001 9.71906e-110 0 0
0.394106 0.00565611 -0.00500001 2.47749e-109 0 0
0.467052 0.00670301 -0.00500001 9.0354e-109 0 0
0.554582 0.00795922 -0.00500001 5.79983e-108 0 0
0.654571 0.00939423 -0.00500001 5.57221e-107 0 0
0.75456 0.0108293 -0.00500001 3.58156e-106 0 0
0.854549 0.0122643 -0.00500001 1.80592e-105 0 0
0.954538 0.0136993 -0.00500001 7.6754e-105 0 0
1.05453 0.0151343 -0.00500001 2.86406e-104 0 0
1.15452 0.0165693 -0.00500001 9.63182e-104 0 0
1.25451 0.0180043 -0.00500001 2.97281e-103 0 0
1.35449 0.0194394 -0.00500001 8.53362e-103 0 0
1.45448 0.0208744 -0.00500001 2.30147e-102 0 0
1.55447 0.0223094 -0.00500001 5.87804e-102 0 0
1.65446 0.0237444 -0.00500001 1.43084e-101 0 0
1.75445 0.0251794 -0.00500001 3.33693e-101 0 0
1.85444 0.0266144 -0.00500001 7.48854e-101 0 0
1.95443 0.0280494 -0.00500001 1.62306e-100 0 0
2.05442 0.0294845 -0.00500001 3.40814e-100 0 0
2.15441 0.0309195 -0.00500001 6.95219e-100 0 0
2.2544 0.0323545 -0.00500001 1.38091e-99 0 0
2.35439 0.0337895 -0.00500001 2.67635e-99 0 0
2.45437 0.0352245 -0.00500001 5.0704e-99 0 0
2.55436 0.0366595 -0.00500001 9.40503e-99 0 0
2.65435 0.0380946 -0.00500001 1.71049e-98 0 0
2.75434 0.0395296 -0.00500001 3.05411e-98 0 0
2.85433 0.0409646 -0.00500001 5.35987e-98 0 0
2.95432 0.0423996 -0.00500001 9.25517e-98 0 0
3.05431 0.0438346 -0.00500001 1.57394e-97 0 0
3.1543 0.0452696 -0.00500001 2.63842e-97 0 0
3.25429 0.0467047 -0.00500001 4.36308e-97 0 0
3.35428 0.0481397 -0.00500001 7.12283e-97 0 0
3.45427 0.0495747 -0.00500001 1.14872e-96 0 0
3.55425 0.0510097 -0.00500001 1.83121e-96 0 0
3.65424 0.0524447 -0.00500001 2.88722e-96 0 0
3.75423 0.0538797 -0.00500001 4.50467e-96 0 0
3.85422 0.0553147 -0.00500001 6.95826e-96 0 0
3.95421 0.0567498 -0.00500001 1.06461e-95 0 0
4.0542 0.0581848 -0.00500001 1.61404e-95 0 0
4.15419 0.0596198 -0.00500001 2.42575e-95 0 0
4.25418 0.0610548 -0.00500001 3.6153e-95 0 0
4.35417 0.0624898 -0.00500001 5.34516e-95 0 0
4.45416 0.0639248 -0.00500001 7.84213e-95 0 0
4.55415 0.0653599 -0.00500001 1.14208e-94 0 0
4.65413 0.0667949 -0.00500001 1.65149e-94 0 0
4.75412 0.0682299 -0.00500001 2.37184e-94 0 0
4.85411 0.0696649 -0.00500001 3.38405e-94 0 0
4.9541 0.0710999 -0.00500001 4.79772e-94 0 0
5.05409 0.0725349 -0.00500001 6.76047e-94 0 0
5.15408 0.0739699 -0.00500001 9.47015e-94 0 0
5.25407 0.075405 -0.00500001 1.31906e-93 0 0
5.35406 0.07684 -0.00500001 1.82717e-93 0 0
5.45405 0.078275 -0.00500001 2.51759e-93 0 0
5.55404 0.07971 -0.00500001 3.45109e-93 0 0
5.65402 0.081145 -0.00500001 4.70721e-93 0 0
5.75401 0.08258 -0.00500001 6.38964e-93 0 0
5.854 0.084015 -0.00500001 8.63296e-93 0 0
5.95399 0.0854501 -0.00500001 1.16112e-92 0 0
6.05398 0.0868851 -0.00500001 1.55483e-92 0 0
6.15397 0.0883201 -0.00500001 2.07318e-92 0 0
6.25396 0.0897551 -0.00500001 2.75293e-92 0 0
6.35395 0.0911901 -0.00500001 3.64089e-92 0 0
6.45394 0.0926251 -0.00500001 4.79648e-92 0 0
6.55393 0.0940601 -0.00500001 6.2949e-92 0 0
6.65392 0.0954952 -0.00500001 8.23096e-92 0 0
6.7539 0.0969302 -0.00500001 1.07239e-91 0 0
6.85389 0.0983652 -0.00500001 1.39231e-91 0 0
6.95388 0.0998002 -0.00500001 1.80153e-91 0 0
7.05387 0.101235 -0.00500001 2.3233e-91 0 0
7.15386 0.10267 -0.00500001 2.98654e-91 0 0
7.25385 0.104105 -0.00500001 3.82704e-91 0 0
7.35384 0.10554 -0.00500001 4.88905e-91 0 0
7.45383 0.106975 -0.00500001 6.2271e-91 0 0
7.55382 0.10841 -0.00500001 7.90821e-91 0 0
7.65381 0.109845 -0.00500001 1.00146e-90 0 0
7.7538 0.11128 -0.00500001 1.26468e-90 0 0
7.85378 0.112715 -0.00500001 1.59274e-90 0 0
7.95377 0.11415 -0.00500001 2.0006e-90 0 0
8.05376 0.115585 -0.00500001 2.50638e-90 0 0
8.15375 0.11702 -0.00500001 3.13209e-90 0 0
8.25374 0.118455 -0.00500001 3.90432e-90 0 0
8.35373 0.11989 -0.00500001 4.85517e-90 0 0
8.45372 0.121325 -0.00500001 6.02329e-90 0 0
8.55371 0.12276 -0.00500001 7.45516e-90 0 0
8.6537 0.124195 -0.00500001 9.20652e-90 0 0
8.75369 0.12563 -0.00500001 1.13441e-89 0 0
8.85368 0.127065 -0.00500001 1.39476e-89 0 0
8.95366 0.1285 -0.00500001 1.71121e-89 0 0
9.05365 0.129935 -0.00500001 2.0951e-89 0 0
9.15364 0.13137 -0.00500001 2.55987e-89 0 0
9.25363 0.132805 -0.00500001 3.12149e-89 0 0
9.35362 0.134241 -0.00500001 3.79886e-89 0 0
9.45361 0.135676 -0.00500001 4.61435e-89 0 0
9.5536 0.137111 -0.00500001 5.59434e-89 0 0
9.65359 0.138546 -0.00500001 6.76993e-89 0 0
9.75358 0.139981 -0.00500001 8.17772e-89 0 0
9.85357 0.141416 -0.00500001 9.8607e-89 0 0
9.95355 0.142851 -0.00500001 1.18693e-88 0 0
10.0535 0.144286 -0.00500001 1.42626e-88 0 0
10.1535 0.145721 -0.00500001 1.71096e-88 0 0
10.2535 0.147156 -0.00500001 2.04911e-88 0 0
10.3535 0.148591 -0.00500001 2.45012e-88 0 0
10.4535 0.150026 -0.00500001 2.92495e-88 0 0
10.5535 0.151461 -0.00500001 3.48634e-88 0 0
10.6535 0.152896 -0.00500001 4.14909e-88 0 0
10.7535 0.154331 -0.00500001 4.93039e-88 0 0
10.8535 0.155766 -0.00500001 5.85013e-88 0 0
10.9534 0.157201 -0.00500001 6.93133e-88 0 0
11.0534 0.158636 -0.00500001 8.2006e-88 0 0
11.1534 0.160071 -0.00500001 9.68862e-88 0 0
11.2534 0.161506 -0.00500001 1.14308e-87 0 0
11.3534 0.162941 -0.00500001 1.34679e-87 0 0
11.4534 0.164376 -0.00500001 1.58468e-87 0 0
11.5534 0.165811 -0.00500001 1.86213e-87 0 0
11.6534 0.167246 -0.00500001 2.18532e-87 0 0
11.7534 0.168681 -0.00500001 2.56133e-87 0 0
11.8533 0.170116 -0.00500001 2.99828e-87 0 0
11.9533 0.171551 -0.00500001 3.50542e-87 0 0
12.0533 0.172986 -0.00500001 4.09336e-87 0 0
12.1533 0.174421 -0.00500001 4.77419e-87 0 0
