#Time  flux(x0) flux(x1) flux(y0) flux(y1)
0.1  -0.00500001 0.00500001 0 0
0.114142  -0.00500001 0.00500001 0 0
0.131112  -0.00500001 0.00500001 0 0
0.151476  -0.00500001 0.00500001 0 0
0.175912  -0.00500001 0.00500001 0 0
0.205236  -0.00500001 0.00500001 0 0
0.240423  -0.00500001 0.00500001 0 0
0.282646  -0.00500001 0.00500001 0 0
0.333312  -0.00500001 0.00500001 0 0
0.394106  -0.00500001 0.00500001 0 0
0.467052  -0.00500001 0.00500001 0 0
0.554582  -0.00500001 0.00500001 0 0
0.654571  -0.00500001 0.00500001 0 0
0.75456  -0.00500001 0.00500001 0 0
0.854549  -0.00500001 0.00500001 0 0
0.954538  -0.00500001 0.00500001 0 0
1.05453  -0.00500001 0.00500001 0 0
1.15452  -0.00500001 0.00500001 0 0
1.25451  -0.00500001 0.00500001 0 0
1.35449  -0.00500001 0.00500001 0 0
1.45448  -0.00500001 0.00500001 0 0
1.55447  -0.00500001 0.00500001 0 0
1.65446  -0.00500001 0.00500001 0 0
1.75445  -0.00500001 0.00500001 0 0
1.85444  -0.00500001 0.00500001 0 0
1.95443  -0.00500001 0.00500001 0 0
2.05442  -0.00500001 0.00500001 0 0
2.15441  -0.00500001 0.00500001 0 0
2.2544  -0.00500001 0.00500001 0 0
2.35439  -0.00500001 0.00500001 0 0
2.45437  -0.00500001 0.00500001 0 0
2.55436  -0.00500001 0.00500001 0 0
2.65435  -0.00500001 0.00500001 0 0
2.75434  -0.00500001 0.00500001 0 0
2.85433  -0.00500001 0.00500001 0 0
2.95432  -0.00500001 0.00500001 0 0
3.05431  -0.00500001 0.00500001 0 0
3.1543  -0.00500001 0.00500001 0 0
3.25429  -0.00500001 0.00500001 0 0
3.35428  -0.00500001 0.00500001 0 0
3.45427  -0.00500001 0.00500001 0 0
3.55425  -0.00500001 0.00500001 0 0
3.65424  -0.00500001 0.00500001 0 0
3.75423  -0.00500001 0.00500001 0 0
3.85422  -0.00500001 0.00500001 0 0
3.95421  -0.00500001 0.00500001 0 0
4.0542  -0.00500001 0.00500001 0 0
4.15419  -0.00500001 0.00500001 0 0
4.25418  -0.00500001 0.00500001 0 0
4.35417  -0.00500001 0.00500001 0 0
4.45416  -0.00500001 0.00500001 0 0
4.55415  -0.00500001 0.00500001 0 0
4.65413  -0.00500001 0.00500001 0 0
4.75412  -0.00500001 0.00500001 0 0
4.85411  -0.00500001 0.00500001 0 0
4.9541  -0.00500001 0.00500001 0 0
5.05409  -0.00500001 0.00500001 0 0
5.15408  -0.00500001 0.00500001 0 0
5.25407  -0.00500001 0.00500001 0 0
5.35406  -0.00500001 0.00500001 0 0
5.45405  -0.00500001 0.00500001 0 0
5.55404  -0.00500001 0.00500001 0 0
5.65402  -0.00500001 0.00500001 0 0
5.75401  -0.00500001 0.00500001 0 0
5.854  -0.00500001 0.00500001 0 0
5.95399  -0.00500001 0.00500001 0 0
6.05398  -0.00500001 0.00500001 0 0
6.15397  -0.00500001 0.00500001 0 0
6.25396  -0.00500001 0.00500001 0 0
6.35395  -0.00500001 0.00500001 0 0
6.45394  -0.00500001 0.00500001 0 0
6.55393  -0.00500001 0.00500001 0 0
6.65392  -0.00500001 0.00500001 0 0
6.7539  -0.00500001 0.00500001 0 0
6.85389  -0.00500001 0.00500001 0 0
6.95388  -0.00500001 0.00500001 0 0
7.05387  -0.00500001 0.00500001 0 0
7.15386  -0.00500001 0.00500001 0 0
7.25385  -0.00500001 0.00500001 0 0
7.35384  -0.00500001 0.00500001 0 0
7.45383  -0.00500001 0.00500001 0 0
7.55382  -0.00500001 0.00500001 0 0
7.65381  -0.00500001 0.00500001 0 0
7.7538  -0.00500001 0.00500001 0 0
7.85378  -0.00500001 0.00500001 0 0
7.95377  -0.00500001 0.00500001 0 0
8.05376  -0.00500001 0.00500001 0 0
8.15375  -0.00500001 0.00500001 0 0
8.25374  -0.00500001 0.00500001 0 0
8.35373  -0.00500001 0.00500001 0 0
8.45372  -0.00500001 0.00500001 0 0
8.55371  -0.00500001 0.00500001 0 0
8.6537  -0.00500001 0.00500001 0 0
8.75369  -0.00500001 0.00500001 0 0
8.85368  -0.00500001 0.00500001 0 0
8.95366  -0.00500001 0.00500001 0 0
9.05365  -0.00500001 0.00500001 0 0
9.15364  -0.00500001 0.00500001 0 0
9.25363  -0.00500001 0.00500001 0 0
9.35362  -0.00500001 0.00500001 0 0
9.45361  -0.00500001 0.00500001 0 0
9.5536  -0.00500001 0.00500001 0 0
9.65359  -0.00500001 0.00500001 0 0
9.75358  -0.00500001 0.00500001 0 0
9.85357  -0.00500001 0.00500001 0 0
9.95355  -0.00500001 0.00500001 0 0
10.0535  -0.00500001 0.00500001 0 0
10.1535  -0.00500001 0.00500001 0 0
10.2535  -0.00500001 0.00500001 0 0
10.3535  -0.00500001 0.00500001 0 0
10.4535  -0.00500001 0.00500001 0 0
10.5535  -0.00500001 0.00500001 0 0
10.6535  -0.00500001 0.00500001 0 0
10.7535  -0.00500001 0.00500001 0 0
10.8535  -0.00500001 0.00500001 0 0
10.9534  -0.00500001 0.00500001 0 0
11.0534  -0.00500001 0.00500001 0 0
11.1534  -0.00500001 0.00500001 0 0
11.2534  -0.00500001 0.00500001 0 0
11.3534  -0.00500001 0.00500001 0 0
11.4534  -0.00500001 0.00500001 0 0
11.5534  -0.00500001 0.00500001 0 0
11.6534  -0.00500001 0.00500001 0 0
11.7534  -0.00500001 0.00500001 0 0
11.8533  -0.00500001 0.00500001 0 0
11.9533  -0.00500001 0.00500001 0 0
12.0533  -0.00500001 0.00500001 0 0
12.1533  -0.00500001 0.00500001 0 0
12.2533  -0.00500001 0.00500001 0 0
12.3533  -0.00500001 0.00500001 0 0
12.4533  -0.00500001 0.00500001 0 0
12.5533  -0.00500001 0.00500001 0 0
12.6533  -0.00500001 0.00500001 0 0
12.7532  -0.00500001 0.00500001 0 0
12.8532  -0.00500001 0.00500001 0 0
12.9532  -0.00500001 0.00500001 0 0
13.0532  -0.00500001 0.00500001 0 0
13.1532  -0.00500001 0.00500001 0 0
13.2532  -0.00500001 0.00500001 0 0
13.3532  -0.00500001 0.00500001 0 0
13.4532  -0.00500001 0.00500001 0 0
13.5532  -0.00500001 0.00500001 0 0
13.6532  -0.00500001 0.00500001 0 0
13.7531  -0.00500001 0.00500001 0 0
13.8531  -0.00500001 0.00500001 0 0
13.9531  -0.00500001 0.00500001 0 0
14.0531  -0.00500001 0.00500001 0 0
14.1531  -0.00500001 0.00500001 0 0
14.2531  -0.00500001 0.00500001 0 0
