#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
60 0.000441763 0 -2.24714e-06 0 0
68.484 0.000504228 0 -2.24711e-06 0 0
76.968 0.000566692 0 -2.24711e-06 0 0
85.452 0.000629156 0 -2.2471e-06 0 0
94.7828 0.000697854 0 -2.2471e-06 0 0
104.114 0.000766551 0 -2.24709e-06 0 0
113.444 0.000835249 0 -2.24709e-06 0 0
122.775 0.000903946 0 -2.24709e-06 0 0
132.106 0.000972643 0 -2.24708e-06 0 0
142.37 0.00104821 0 -2.24708e-06 0 0
152.634 0.00112377 0 -2.24708e-06 0 0
162.898 0.00119934 0 -2.24707e-06 0 0
173.161 0.00127491 0 -2.24707e-06 0 0
183.425 0.00135047 0 -2.24706e-06 0 0
194.715 0.00143359 0 -2.24706e-06 0 0
206.005 0.0015167 0 -2.24706e-06 0 0
217.295 0.00159982 0 -2.24705e-06 0 0
228.585 0.00168294 0 -2.24705e-06 0 0
239.875 0.00176605 0 -2.24704e-06 0 0
252.29 0.00185746 0 -2.24704e-06 0 0
264.706 0.00194886 0 -2.24703e-06 0 0
277.121 0.00204026 0 -2.24703e-06 0 0
289.537 0.00213166 0 -2.24702e-06 0 0
301.953 0.00222306 0 -2.24702e-06 0 0
315.607 0.00232358 0 -2.24701e-06 0 0
329.261 0.0024241 0 -2.24701e-06 0 0
342.915 0.00252461 0 -2.247e-06 0 0
356.57 0.00262513 0 -2.247e-06 0 0
370.224 0.00272565 0 -2.24699e-06 0 0
385.242 0.0028362 0 -2.24699e-06 0 0
400.259 0.00294675 0 -2.24698e-06 0 0
415.277 0.0030573 0 -2.24697e-06 0 0
430.295 0.00316785 0 -2.24697e-06 0 0
445.312 0.00327839 0 -2.24696e-06 0 0
461.823 0.00339993 0 -2.24696e-06 0 0
478.334 0.00352147 0 -2.24695e-06 0 0
494.845 0.00364301 0 -2.24694e-06 0 0
511.356 0.00376455 0 -2.24694e-06 0 0
527.867 0.00388608 0 -2.24693e-06 0 0
546.026 0.00401975 0 -2.24692e-06 0 0
564.185 0.00415341 0 -2.24692e-06 0 0
582.344 0.00428708 0 -2.24691e-06 0 0
600.503 0.00442074 0 -2.2469e-06 0 0
618.662 0.0045544 0 -2.24689e-06 0 0
638.636 0.00470142 0 -2.24689e-06 0 0
658.61 0.00484843 0 -2.24688e-06 0 0
678.584 0.00499544 0 -2.24687e-06 0 0
698.557 0.00514246 0 -2.24686e-06 0 0
718.531 0.00528947 0 -2.24686e-06 0 0
740.498 0.00545114 0 -2.24685e-06 0 0
762.464 0.00561282 0 -2.24684e-06 0 0
784.431 0.00577449 0 -2.24683e-06 0 0
806.397 0.00593616 0 -2.24682e-06 0 0
828.364 0.00609783 0 -2.24681e-06 0 0
852.513 0.00627556 0 -2.2468e-06 0 0
876.661 0.00645328 0 -2.2468e-06 0 0
900.81 0.00663101 0 -2.24679e-06 0 0
924.959 0.00680873 0 -2.24678e-06 0 0
949.107 0.00698645 0 -2.24677e-06 0 0
975.662 0.00718187 0 -2.24676e-06 0 0
1002.22 0.00737729 0 -2.24675e-06 0 0
1028.77 0.00757271 0 -2.24674e-06 0 0
1055.33 0.00776812 0 -2.24673e-06 0 0
1081.88 0.00796353 0 -2.24671e-06 0 0
1111.09 0.00817848 0 -2.2467e-06 0 0
1140.3 0.00839343 0 -2.24669e-06 0 0
1169.51 0.00860837 0 -2.24668e-06 0 0
1198.72 0.00882331 0 -2.24667e-06 0 0
1227.93 0.00903825 0 -2.24666e-06 0 0
1260.04 0.00927453 0 -2.24665e-06 0 0
1292.16 0.00951081 0 -2.24663e-06 0 0
1324.27 0.00974709 0 -2.24662e-06 0 0
1356.38 0.00998336 0 -2.24661e-06 0 0
1388.49 0.0102196 0 -2.2466e-06 0 0
1423.81 0.0104795 0 -2.24658e-06 0 0
1459.14 0.0107394 0 -2.24657e-06 0 0
1494.46 0.0109993 0 -2.24655e-06 0 0
1529.78 0.0112592 0 -2.24654e-06 0 0
1565.1 0.011519 0 -2.24653e-06 0 0
1603.95 0.0118048 0 -2.24651e-06 0 0
1642.8 0.0120906 0 -2.2465e-06 0 0
1681.64 0.0123764 0 -2.24648e-06 0 0
1720.49 0.0126621 0 -2.24647e-06 0 0
1759.33 0.0129479 0 -2.24645e-06 0 0
1802.06 0.0132622 0 -2.24643e-06 0 0
1844.78 0.0135765 0 -2.24642e-06 0 0
1887.5 0.0138907 0 -2.2464e-06 0 0
1930.23 0.014205 0 -2.24638e-06 0 0
1972.95 0.0145192 0 -2.24637e-06 0 0
2019.9 0.0148646 0 -2.24635e-06 0 0
2066.85 0.0152099 0 -2.24633e-06 0 0
2113.79 0.0155551 0 -2.24631e-06 0 0
2160.74 0.0159004 0 -2.24629e-06 0 0
2207.69 0.0162457 0 -2.24627e-06 0 0
2259.25 0.0166249 0 -2.24627e-06 0 0
2310.81 0.0170041 0 -2.24625e-06 0 0
2362.37 0.0173833 0 -2.24623e-06 0 0
2413.94 0.0177625 0 -2.2462e-06 0 0
2465.5 0.0181417 0 -2.24618e-06 0 0
2522.15 0.0185583 0 -2.24616e-06 0 0
2578.81 0.0189749 0 -2.24614e-06 0 0
2635.47 0.0193915 0 -2.24612e-06 0 0
2692.12 0.0198081 0 -2.24609e-06 0 0
2748.78 0.0202247 0 -2.24607e-06 0 0
2808.67 0.020665 0 -2.24605e-06 0 0
2868.56 0.0211054 0 -2.24602e-06 0 0
2928.45 0.0215457 0 -2.246e-06 0 0
2988.35 0.021986 0 -2.24597e-06 0 0
3048.24 0.0224263 0 -2.24595e-06 0 0
3108.13 0.0228666 0 -2.24593e-06 0 0
3168.03 0.0233069 0 -2.2459e-06 0 0
3227.92 0.0237471 0 -2.24588e-06 0 0
3287.81 0.0241874 0 -2.24585e-06 0 0
3347.7 0.0246276 0 -2.24583e-06 0 0
3407.6 0.0250678 0 -2.24581e-06 0 0
3467.49 0.0255081 0 -2.24578e-06 0 0
3527.38 0.0259483 0 -2.24576e-06 0 0
3587.28 0.0263884 0 -2.24573e-06 0 0
3647.17 0.0268286 0 -2.24571e-06 0 0
3707.06 0.0272688 0 -2.24569e-06 0 0
3766.95 0.0277089 0 -2.24566e-06 0 0
3826.85 0.028149 0 -2.24564e-06 0 0
3886.74 0.0285891 0 -2.24561e-06 0 0
3946.63 0.0290293 0 -2.24559e-06 0 0
4006.52 0.0294693 0 -2.24556e-06 0 0
4066.42 0.0299094 0 -2.24554e-06 0 0
4126.31 0.0303495 0 -2.24552e-06 0 0
4186.2 0.0307895 0 -2.24549e-06 0 0
4246.1 0.0312296 0 -2.24547e-06 0 0
4305.99 0.0316696 0 -2.24544e-06 0 0
4365.88 0.0321096 0 -2.24542e-06 0 0
4425.77 0.0325496 0 -2.2454e-06 0 0
4485.67 0.0329896 0 -2.24537e-06 0 0
4545.56 0.0334295 0 -2.24535e-06 0 0
4605.45 0.0338695 0 -2.24532e-06 0 0
4665.35 0.0343094 0 -2.2453e-06 0 0
4725.24 0.0347494 0 -2.24527e-06 0 0
4785.13 0.0351893 0 -2.24525e-06 0 0
4845.02 0.0356292 0 -2.24523e-06 0 0
4904.92 0.0360691 0 -2.2452e-06 0 0
4964.81 0.0365089 0 -2.24518e-06 0 0
5024.7 0.0369488 0 -2.24515e-06 0 0
5084.6 0.0373886 0 -2.24513e-06 0 0
5144.49 0.0378285 0 -2.2451e-06 0 0
5204.38 0.0382683 0 -2.24508e-06 0 0
5264.27 0.0387081 0 -2.24506e-06 0 0
5324.17 0.0391479 0 -2.24503e-06 0 0
5384.06 0.0395877 0 -2.24501e-06 0 0
5443.95 0.0400274 0 -2.24498e-06 0 0
5503.84 0.0404672 0 -2.24496e-06 0 0
5563.74 0.0409069 0 -2.24493e-06 0 0
5623.63 0.0413467 0 -2.24491e-06 0 0
5683.52 0.0417864 0 -2.24488e-06 0 0
5743.42 0.0422261 0 -2.24486e-06 0 0
5803.31 0.0426658 0 -2.24484e-06 0 0
5863.2 0.0431054 0 -2.24481e-06 0 0
5923.09 0.0435451 0 -2.24479e-06 0 0
5982.99 0.0439847 0 -2.24476e-06 0 0
6042.88 0.0444244 0 -2.24474e-06 0 0
6102.77 0.044864 0 -2.24471e-06 0 0
6162.67 0.0453036 0 -2.24469e-06 0 0
6222.56 0.0457432 0 -2.24466e-06 0 0
6282.45 0.0461828 0 -2.24464e-06 0 0
6342.34 0.0466223 0 -2.24462e-06 0 0
6402.24 0.0470619 0 -2.24459e-06 0 0
6462.13 0.0475014 0 -2.24457e-06 0 0
6522.02 0.0479409 0 -2.24454e-06 0 0
6581.92 0.0483804 0 -2.24452e-06 0 0
6641.81 0.0488199 0 -2.24449e-06 0 0
6701.7 0.0492594 0 -2.24447e-06 0 0
6761.59 0.0496989 0 -2.24444e-06 0 0
6821.49 0.0501383 0 -2.24442e-06 0 0
6881.38 0.0505778 0 -2.24439e-06 0 0
6941.27 0.0510172 0 -2.24437e-06 0 0
7001.16 0.0514566 0 -2.24435e-06 0 0
7061.06 0.051896 0 -2.24432e-06 0 0
7120.95 0.0523354 0 -2.2443e-06 0 0
7180.84 0.0527748 0 -2.24427e-06 0 0
7240.74 0.0532142 0 -2.24425e-06 0 0
7300.63 0.0536535 0 -2.24422e-06 0 0
7360.52 0.0540928 0 -2.2442e-06 0 0
7420.41 0.0545322 0 -2.24417e-06 0 0
7480.31 0.0549715 0 -2.24415e-06 0 0
7540.2 0.0554108 0 -2.24412e-06 0 0
7600.09 0.0558501 0 -2.2441e-06 0 0
7659.99 0.0562893 0 -2.24407e-06 0 0
7719.88 0.0567286 0 -2.24405e-06 0 0
7779.77 0.0571678 0 -2.24402e-06 0 0
7839.66 0.057607 0 -2.244e-06 0 0
7899.56 0.0580463 0 -2.24398e-06 0 0
7959.45 0.0584855 0 -2.24395e-06 0 0
8019.34 0.0589246 0 -2.24393e-06 0 0
8079.24 0.0593638 0 -2.2439e-06 0 0
8139.13 0.059803 0 -2.24388e-06 0 0
8199.02 0.0602421 0 -2.24385e-06 0 0
8258.91 0.0606813 0 -2.24383e-06 0 0
8318.81 0.0611204 0 -2.2438e-06 0 0
8378.7 0.0615595 0 -2.24378e-06 0 0
8438.59 0.0619986 0 -2.24375e-06 0 0
8498.48 0.0624377 0 -2.24373e-06 0 0
8558.38 0.0628767 0 -2.2437e-06 0 0
8618.27 0.0633158 0 -2.24368e-06 0 0
8678.16 0.0637548 0 -2.24365e-06 0 0
8738.06 0.0641938 0 -2.24363e-06 0 0
8797.95 0.0646329 0 -2.2436e-06 0 0
8857.84 0.0650719 0 -2.24358e-06 0 0
8917.73 0.0655108 0 -2.24355e-06 0 0
8977.63 0.0659498 0 -2.24353e-06 0 0
9037.52 0.0663888 0 -2.2435e-06 0 0
9097.41 0.0668277 0 -2.24348e-06 0 0
9157.31 0.0672666 0 -2.24345e-06 0 0
9217.2 0.0677056 0 -2.24343e-06 0 0
9277.09 0.0681445 0 -2.2434e-06 0 0
9336.98 0.0685834 0 -2.24338e-06 0 0
9396.88 0.0690222 0 -2.24335e-06 0 0
9456.77 0.0694611 0 -2.24333e-06 0 0
9516.66 0.0699 0 -2.2433e-06 0 0
9576.56 0.0703388 0 -2.24328e-06 0 0
9636.45 0.0707776 0 -2.24325e-06 0 0
9696.34 0.0712164 0 -2.24323e-06 0 0
9756.23 0.0716552 0 -2.2432e-06 0 0
9816.13 0.072094 0 -2.24318e-06 0 0
9876.02 0.0725328 0 -2.24315e-06 0 0
9935.91 0.0729715 0 -2.24313e-06 0 0
9995.8 0.0734103 0 -2.2431e-06 0 0
