#Time  flux(x0) flux(x1) flux(y0) flux(y1)
60  -6.6e-05 6.5999e-05 0 0
68.484  -6.6e-05 6.6e-05 0 0
76.968  -6.6e-05 6.6e-05 0 0
85.452  -6.6e-05 6.6e-05 0 0
94.7828  -6.6e-05 6.6e-05 0 0
104.114  -6.6e-05 6.6e-05 0 0
113.444  -6.6e-05 6.6e-05 0 0
122.775  -6.6e-05 6.6e-05 0 0
132.106  -6.6e-05 6.6e-05 0 0
142.37  -6.6e-05 6.6e-05 0 0
152.634  -6.6e-05 6.6e-05 0 0
162.898  -6.6e-05 6.6e-05 0 0
173.161  -6.6e-05 6.6e-05 0 0
183.425  -6.6e-05 6.6e-05 0 0
194.715  -6.6e-05 6.6e-05 0 0
206.005  -6.6e-05 6.6e-05 0 0
217.295  -6.6e-05 6.6e-05 0 0
228.585  -6.6e-05 6.6e-05 0 0
239.875  -6.6e-05 6.6e-05 0 0
252.29  -6.6e-05 6.6e-05 0 0
264.706  -6.6e-05 6.6e-05 0 0
277.121  -6.6e-05 6.6e-05 0 0
289.537  -6.6e-05 6.6e-05 0 0
301.953  -6.6e-05 6.6e-05 0 0
315.607  -6.6e-05 6.6e-05 0 0
329.261  -6.6e-05 6.6e-05 0 0
342.915  -6.6e-05 6.6e-05 0 0
356.57  -6.6e-05 6.6e-05 0 0
370.224  -6.6e-05 6.6e-05 0 0
385.242  -6.6e-05 6.6e-05 0 0
400.259  -6.6e-05 6.6e-05 0 0
415.277  -6.6e-05 6.6e-05 0 0
430.295  -6.6e-05 6.6e-05 0 0
445.312  -6.6e-05 6.6e-05 0 0
461.823  -6.6e-05 6.6e-05 0 0
478.334  -6.6e-05 6.6e-05 0 0
494.845  -6.6e-05 6.6e-05 0 0
511.356  -6.6e-05 6.6e-05 0 0
527.867  -6.6e-05 6.6e-05 0 0
546.026  -6.6e-05 6.6e-05 0 0
564.185  -6.6e-05 6.6e-05 0 0
582.344  -6.6e-05 6.6e-05 0 0
600.503  -6.6e-05 6.6e-05 0 0
618.662  -6.6e-05 6.6e-05 0 0
638.636  -6.6e-05 6.6e-05 0 0
658.61  -6.6e-05 6.6e-05 0 0
678.584  -6.6e-05 6.6e-05 0 0
698.557  -6.6e-05 6.6e-05 0 0
718.531  -6.6e-05 6.6e-05 0 0
740.498  -6.6e-05 6.6e-05 0 0
762.464  -6.6e-05 6.6e-05 0 0
784.431  -6.6e-05 6.6e-05 0 0
806.397  -6.6e-05 6.6e-05 0 0
828.364  -6.6e-05 6.6e-05 0 0
852.513  -6.6e-05 6.6e-05 0 0
876.661  -6.6e-05 6.6e-05 0 0
900.81  -6.6e-05 6.6e-05 0 0
924.959  -6.6e-05 6.6e-05 0 0
949.107  -6.6e-05 6.6e-05 0 0
975.662  -6.6e-05 6.6e-05 0 0
1002.22  -6.6e-05 6.6e-05 0 0
1028.77  -6.6e-05 6.6e-05 0 0
1055.33  -6.6e-05 6.6e-05 0 0
1081.88  -6.6e-05 6.6e-05 0 0
1111.09  -6.6e-05 6.6e-05 0 0
1140.3  -6.6e-05 6.6e-05 0 0
1169.51  -6.6e-05 6.6e-05 0 0
1198.72  -6.6e-05 6.6e-05 0 0
1227.93  -6.6e-05 6.6e-05 0 0
1260.04  -6.6e-05 6.6e-05 0 0
1292.16  -6.6e-05 6.6e-05 0 0
1324.27  -6.6e-05 6.6e-05 0 0
1356.38  -6.6e-05 6.6e-05 0 0
1388.49  -6.6e-05 6.6e-05 0 0
1423.81  -6.6e-05 6.6e-05 0 0
1459.14  -6.6e-05 6.6e-05 0 0
1494.46  -6.6e-05 6.6e-05 0 0
1529.78  -6.6e-05 6.6e-05 0 0
1565.1  -6.6e-05 6.6e-05 0 0
1603.95  -6.6e-05 6.6e-05 0 0
1642.8  -6.6e-05 6.6e-05 0 0
1681.64  -6.6e-05 6.6e-05 0 0
1720.49  -6.6e-05 6.6e-05 0 0
1759.33  -6.6e-05 6.6e-05 0 0
1802.06  -6.6e-05 6.6e-05 0 0
1844.78  -6.6e-05 6.6e-05 0 0
1887.5  -6.6e-05 6.6e-05 0 0
1930.23  -6.6e-05 6.6e-05 0 0
1972.95  -6.6e-05 6.6e-05 0 0
2019.9  -6.6e-05 6.6e-05 0 0
2066.85  -6.6e-05 6.6e-05 0 0
2113.79  -6.6e-05 6.6e-05 0 0
2160.74  -6.6e-05 6.6e-05 0 0
2207.69  -6.6e-05 6.6e-05 0 0
2259.25  -6.6e-05 6.5999e-05 0 0
2310.81  -6.6e-05 6.5999e-05 0 0
2362.37  -6.6e-05 6.5999e-05 0 0
2413.94  -6.6e-05 6.5999e-05 0 0
2465.5  -6.6e-05 6.5999e-05 0 0
2522.15  -6.6e-05 6.5999e-05 0 0
2578.81  -6.6e-05 6.5999e-05 0 0
2635.47  -6.6e-05 6.5999e-05 0 0
2692.12  -6.6e-05 6.5999e-05 0 0
2748.78  -6.6e-05 6.5999e-05 0 0
2808.67  -6.6e-05 6.5999e-05 0 0
2868.56  -6.6e-05 6.5999e-05 0 0
2928.45  -6.6e-05 6.5999e-05 0 0
2988.35  -6.6e-05 6.5999e-05 0 0
3048.24  -6.6e-05 6.5999e-05 0 0
3108.13  -6.6e-05 6.5999e-05 0 0
