#Time TotalMass(kg) flux(x0) flux(x1) flux(y0) flux(y1)
0.1 0.00146574 -0.00500001 1.96749e-45 0 0
0.114142 0.00167301 -0.00500001 2.29156e-45 0 0
0.131112 0.00192172 -0.00500001 2.75992e-45 0 0
0.151476 0.00222014 -0.00500001 3.46566e-45 0 0
0.175912 0.00257821 -0.00500001 4.58642e-45 0 0
0.205236 0.00300786 -0.00500001 6.48934e-45 0 0
0.240423 0.00352334 -0.00500001 1.00124e-44 0 0
0.282646 0.00414181 -0.00500001 1.73296e-44 0 0
0.333312 0.00488379 -0.00500001 3.51262e-44 0 0
0.394106 0.00577391 -0.00500001 8.95399e-44 0 0
0.467052 0.00684166 -0.00500001 3.26525e-43 0 0
0.554582 0.00812248 -0.00500001 2.09458e-42 0 0
0.654571 0.00958509 -0.00500001 2.00877e-41 0 0
0.75456 0.0110472 -0.00500001 1.28915e-40 0 0
0.854549 0.0125087 -0.00500001 6.49087e-40 0 0
0.954538 0.0139698 -0.00500001 2.75489e-39 0 0
1.05453 0.0154304 -0.00500001 1.0266e-38 0 0
1.15452 0.0168904 -0.00500001 3.44789e-38 0 0
1.25451 0.0183499 -0.00500001 1.06279e-37 0 0
1.35449 0.019809 -0.00500001 3.04686e-37 0 0
1.45448 0.0212676 -0.00500001 8.20668e-37 0 0
1.55447 0.0227256 -0.00500001 2.09335e-36 0 0
1.65446 0.0241832 -0.00500001 5.0892e-36 0 0
1.75445 0.0256403 -0.00500001 1.18538e-35 0 0
1.85444 0.027097 -0.00500001 2.65681e-35 0 0
1.95443 0.0285531 -0.00500001 5.75108e-35 0 0
2.05442 0.0300088 -0.00500001 1.20611e-34 0 0
2.15441 0.0314641 -0.00500001 2.45722e-34 0 0
2.2544 0.0329188 -0.00500001 4.87464e-34 0 0
2.35439 0.0343732 -0.00500001 9.43569e-34 0 0
2.45437 0.035827 -0.00500001 1.78536e-33 0 0
2.55436 0.0372805 -0.00500001 3.30747e-33 0 0
2.65435 0.0387334 -0.00500001 6.00771e-33 0 0
2.75434 0.040186 -0.00500001 1.07133e-32 0 0
2.85433 0.0416381 -0.00500001 1.87777e-32 0 0
2.95432 0.0430898 -0.00500001 3.23834e-32 0 0
3.05431 0.044541 -0.00500001 5.50016e-32 0 0
3.1543 0.0459919 -0.00500001 9.20826e-32 0 0
3.25429 0.0474423 -0.00500001 1.5208e-31 0 0
3.35428 0.0488923 -0.00500001 2.47958e-31 0 0
3.45427 0.0503419 -0.00500001 3.99375e-31 0 0
3.55425 0.0517911 -0.00500001 6.35844e-31 0 0
3.65424 0.0532399 -0.00500001 1.00123e-30 0 0
3.75423 0.0546882 -0.00500001 1.56011e-30 0 0
3.85422 0.0561362 -0.00500001 2.40676e-30 0 0
3.95421 0.0575838 -0.00500001 3.67755e-30 0 0
4.0542 0.0590311 -0.00500001 5.56826e-30 0 0
4.15419 0.0604779 -0.00500001 8.35767e-30 0 0
4.25418 0.0619243 -0.00500001 1.24399e-29 0 0
4.35417 0.0633704 -0.00500001 1.83681e-29 0 0
4.45416 0.0648161 -0.00500001 2.69134e-29 0 0
4.55415 0.0662615 -0.00500001 3.91436e-29 0 0
4.65413 0.0677065 -0.00500001 5.65283e-29 0 0
4.75412 0.0691511 -0.00500001 8.10776e-29 0 0
4.85411 0.0705953 -0.00500001 1.15525e-28 0 0
4.9541 0.0720393 -0.00500001 1.63567e-28 0 0
5.05409 0.0734828 -0.00500001 2.30176e-28 0 0
5.15408 0.074926 -0.00500001 3.22003e-28 0 0
5.25407 0.0763689 -0.00500001 4.47903e-28 0 0
5.35406 0.0778115 -0.00500001 6.19607e-28 0 0
5.45405 0.0792537 -0.00500001 8.52584e-28 0 0
5.55404 0.0806956 -0.00500001 1.16714e-27 0 0
5.65402 0.0821371 -0.00500001 1.58979e-27 0 0
5.75401 0.0835784 -0.00500001 2.15508e-27 0 0
5.854 0.0850193 -0.00500001 2.90773e-27 0 0
5.95399 0.0864599 -0.00500001 3.9055e-27 0 0
6.05398 0.0879002 -0.00500001 5.22263e-27 0 0
6.15397 0.0893402 -0.00500001 6.95421e-27 0 0
6.25396 0.0907799 -0.00500001 9.22163e-27 0 0
6.35395 0.0922192 -0.00500001 1.21792e-26 0 0
6.45394 0.0936583 -0.00500001 1.60226e-26 0 0
6.55393 0.0950971 -0.00500001 2.09989e-26 0 0
6.65392 0.0965356 -0.00500001 2.74191e-26 0 0
6.7539 0.0979739 -0.00500001 3.56738e-26 0 0
6.85389 0.0994118 -0.00500001 4.62513e-26 0 0
6.95388 0.100849 -0.00500001 5.97612e-26 0 0
7.05387 0.102287 -0.00500001 7.69615e-26 0 0
7.15386 0.103724 -0.00500001 9.87921e-26 0 0
7.25385 0.105161 -0.00500001 1.26416e-25 0 0
7.35384 0.106597 -0.00500001 1.61268e-25 0 0
7.45383 0.108034 -0.00500001 2.05112e-25 0 0
7.55382 0.10947 -0.00500001 2.60114e-25 0 0
7.65381 0.110906 -0.00500001 3.28925e-25 0 0
7.7538 0.112341 -0.00500001 4.14782e-25 0 0
7.85378 0.113776 -0.00500001 5.21629e-25 0 0
7.95377 0.115211 -0.00500001 6.54258e-25 0 0
8.05376 0.116646 -0.00500001 8.1848e-25 0 0
8.15375 0.118081 -0.00500001 1.02133e-24 0 0
8.25374 0.119515 -0.00500001 1.27129e-24 0 0
8.35373 0.120949 -0.00500001 1.57859e-24 0 0
8.45372 0.122383 -0.00500001 1.95553e-24 0 0
8.55371 0.123817 -0.00500001 2.41686e-24 0 0
8.6537 0.12525 -0.00500001 2.98024e-24 0 0
8.75369 0.126684 -0.00500001 3.66678e-24 0 0
8.85368 0.128117 -0.00500001 4.50166e-24 0 0
8.95366 0.129549 -0.00500001 5.51486e-24 0 0
9.05365 0.130982 -0.00500001 6.74201e-24 0 0
9.15364 0.132414 -0.00500001 8.22538e-24 0 0
9.25363 0.133847 -0.00500001 1.0015e-23 0 0
9.35362 0.135279 -0.00500001 1.21701e-23 0 0
9.45361 0.13671 -0.00500001 1.47604e-23 0 0
9.5536 0.138142 -0.00500001 1.78683e-23 0 0
9.65359 0.139573 -0.00500001 2.15905e-23 0 0
9.75358 0.141005 -0.00500001 2.60407e-23 0 0
9.85357 0.142436 -0.00500001 3.13522e-23 0 0
9.95355 0.143866 -0.00500001 3.76812e-23 0 0
10.0535 0.145297 -0.00500001 4.52101e-23 0 0
10.1535 0.146728 -0.00500001 5.41519e-23 0 0
10.2535 0.148158 -0.00500001 6.47551e-23 0 0
10.3535 0.149588 -0.00500001 7.73086e-23 0 0
10.4535 0.151018 -0.00500001 9.21486e-23 0 0
10.5535 0.152448 -0.00500001 1.09665e-22 0 0
10.6535 0.153878 -0.00500001 1.30311e-22 0 0
10.7535 0.155307 -0.00500001 1.54609e-22 0 0
10.8535 0.156736 -0.00500001 1.83165e-22 0 0
10.9534 0.158166 -0.00500001 2.16678e-22 0 0
11.0534 0.159595 -0.00500001 2.55955e-22 0 0
11.1534 0.161024 -0.00500001 3.01925e-22 0 0
11.2534 0.162452 -0.00500001 3.55656e-22 0 0
11.3534 0.163881 -0.00500001 4.18378e-22 0 0
11.4534 0.165309 -0.00500001 4.915e-22 0 0
11.5534 0.166738 -0.00500001 5.76638e-22 0 0
11.6534 0.168166 -0.00500001 6.75645e-22 0 0
11.7534 0.169594 -0.00500001 7.90638e-22 0 0
11.8533 0.171022 -0.00500001 9.24037e-22 0 0
11.9533 0.17245 -0.00500001 1.07861e-21 0 0
12.0533 0.173878 -0.00500001 1.25749e-21 0 0
12.1533 0.175305 -0.00500001 1.46429e-21 0 0
12.2533 0.176733 -0.00500001 1.70307e-21 0 0
12.3533 0.17816 -0.00500001 1.97849e-21 0 0
12.4533 0.179587 -0.00500001 2.29581e-21 0 0
12.5533 0.181014 -0.00500001 2.66102e-21 0 0
12.6533 0.182441 -0.00500001 3.08088e-21 0 0
12.7532 0.183868 -0.00500001 3.56308e-21 0 0
12.8532 0.185295 -0.00500001 4.1163e-21 0 0
12.9532 0.186722 -0.00500001 4.75035e-21 0 0
13.0532 0.188148 -0.00500001 5.47631e-21 0 0
13.1532 0.189575 -0.00500001 6.30668e-21 0 0
13.2532 0.191001 -0.00500001 7.25555e-21 0 0
13.3532 0.192428 -0.00500001 8.33879e-21 0 0
13.4532 0.193854 -0.00500001 9.57426e-21 0 0
13.5532 0.19528 -0.00500001 1.0982e-20 0 0
13.6532 0.196706 -0.00500001 1.25846e-20 0 0
13.7531 0.198132 -0.00500001 1.44074e-20 0 0
13.8531 0.199558 -0.00500001 1.64787e-20 0 0
13.9531 0.200984 -0.00500001 1.88303e-20 0 0
14.0531 0.202409 -0.00500001 2.14979e-20 0 0
14.1531 0.203835 -0.00500001 2.45214e-20 0 0
14.2531 0.205261 -0.00500001 2.79451e-20 0 0
14.3531 0.206686 -0.00500001 3.1819e-20 0 0
14.4531 0.208112 -0.00500001 3.61985e-20 0 0
14.5531 0.209537 -0.00500001 4.11456e-20 0 0
14.653 0.210962 -0.00500001 4.67294e-20 0 0
14.753 0.212388 -0.00500001 5.30268e-20 0 0
14.853 0.213813 -0.00500001 6.01234e-20 0 0
14.953 0.215238 -0.00500001 6.81144e-20 0 0
15.053 0.216663 -0.00500001 7.71056e-20 0 0
15.153 0.218088 -0.00500001 8.72147e-20 0 0
15.253 0.219513 -0.00500001 9.8572e-20 0 0
15.353 0.220938 -0.00500001 1.11322e-19 0 0
15.453 0.222363 -0.00500001 1.25626e-19 0 0
15.5529 0.223788 -0.00500001 1.41661e-19 0 0
15.6529 0.225212 -0.00500001 1.59624e-19 0 0
15.7529 0.226637 -0.00500001 1.79732e-19 0 0
15.8529 0.228062 -0.00500001 2.02227e-19 0 0
15.9529 0.229487 -0.00500001 2.27373e-19 0 0
16.0529 0.230911 -0.00500001 2.55465e-19 0 0
16.1529 0.232336 -0.00500001 2.86827e-19 0 0
16.2529 0.23376 -0.00500001 3.21816e-19 0 0
16.3529 0.235185 -0.00500001 3.60826e-19 0 0
16.4528 0.236609 -0.00500001 4.04291e-19 0 0
16.5528 0.238034 -0.00500001 4.52688e-19 0 0
16.6528 0.239458 -0.00500001 5.06544e-19 0 0
16.7528 0.240883 -0.00500001 5.66437e-19 0 0
16.8528 0.242307 -0.00500001 6.33002e-19 0 0
16.9528 0.243732 -0.00500001 7.06937e-19 0 0
17.0528 0.245156 -0.00500001 7.89009e-19 0 0
17.1528 0.24658 -0.00500001 8.80059e-19 0 0
17.2528 0.248004 -0.00500001 9.81009e-19 0 0
17.3527 0.249429 -0.00500001 1.09287e-18 0 0
17.4527 0.250853 -0.00500001 1.21675e-18 0 0
17.5527 0.252277 -0.00500001 1.35386e-18 0 0
17.6527 0.253702 -0.00500001 1.50553e-18 0 0
17.7527 0.255126 -0.00500001 1.67322e-18 0 0
17.8527 0.25655 -0.00500001 1.8585e-18 0 0
17.9527 0.257974 -0.00500001 2.06311e-18 0 0
18.0527 0.259398 -0.00500001 2.28896e-18 0 0
18.1527 0.260823 -0.00500001 2.5381e-18 0 0
18.2526 0.262247 -0.00500001 2.8128e-18 0 0
18.3526 0.263671 -0.00500001 3.11552e-18 0 0
18.4526 0.265095 -0.00500001 3.44894e-18 0 0
18.5526 0.266519 -0.00500001 3.81599e-18 0 0
18.6526 0.267944 -0.00500001 4.21985e-18 0 0
18.7526 0.269368 -0.00500001 4.66399e-18 0 0
18.8526 0.270792 -0.00500001 5.15219e-18 0 0
18.9526 0.272216 -0.00500001 5.68855e-18 0 0
19.0526 0.27364 -0.00500001 6.27753e-18 0 0
19.1525 0.275065 -0.00500001 6.92399e-18 0 0
19.2525 0.276489 -0.00500001 7.63319e-18 0 0
19.3525 0.277913 -0.00500001 8.41085e-18 0 0
19.4525 0.279337 -0.00500001 9.26318e-18 0 0
19.5525 0.280762 -0.00500001 1.01969e-17 0 0
19.6525 0.282186 -0.00500001 1.12194e-17 0 0
19.7525 0.28361 -0.00500001 1.23384e-17 0 0
19.8525 0.285034 -0.00500001 1.35627e-17 0 0
19.9525 0.286459 -0.00500001 1.49015e-17 0 0
20.0525 0.287883 -0.00500001 1.63648e-17 0 0
20.1524 0.289307 -0.00500001 1.79636e-17 0 0
20.2524 0.290732 -0.00500001 1.97096e-17 0 0
20.3524 0.292156 -0.00500001 2.16155e-17 0 0
20.4524 0.29358 -0.00500001 2.36952e-17 0 0
20.5524 0.295005 -0.00500001 2.59634e-17 0 0
20.6524 0.296429 -0.00500001 2.84363e-17 0 0
20.7524 0.297854 -0.00500001 3.11312e-17 0 0
20.8524 0.299278 -0.00500001 3.40668e-17 0 0
20.9524 0.300703 -0.00500001 3.72634e-17 0 0
21.0523 0.302127 -0.00500001 4.07426e-17 0 0
21.1523 0.303552 -0.00500001 4.4528e-17 0 0
21.2523 0.304976 -0.00500001 4.8645e-17 0 0
21.3523 0.306401 -0.00500001 5.31207e-17 0 0
21.4523 0.307826 -0.00500001 5.79845e-17 0 0
21.5523 0.30925 -0.00500001 6.32682e-17 0 0
21.6523 0.310675 -0.00500001 6.90056e-17 0 0
21.7523 0.3121 -0.00500001 7.52334e-17 0 0
21.8523 0.313524 -0.00500001 8.1991e-17 0 0
21.9522 0.314949 -0.00500001 8.93207e-17 0 0
22.0522 0.316374 -0.00500001 9.7268e-17 0 0
22.1522 0.317799 -0.00500001 1.05882e-16 0 0
22.2522 0.319224 -0.00500001 1.15215e-16 0 0
22.3522 0.320649 -0.00500001 1.25323e-16 0 0
